fighter,opp,date,division,secs,sig_l,sig_a,sig_l_opp,sig_a_opp,td_l,td_a,td_l_opp,td_a_opp,ctrl,sub,kd,kd_abs,won,decided,won_by_ko,lost_by_ko,won_by_sub,won_by_dec,year
Josh Shockley,Jason Saggo,2014-06-14,Lightweight,297,6,12,10,24,0,0,2,3,33,1,0,0,0,1,0,1,0,0,2014
Kajan Johnson,Tae Hyun Bang,2014-06-14,Lightweight,721,29,91,34,107,4,9,0,1,104,0,0,2,0,1,0,1,0,0,2014
Tae Hyun Bang,Kajan Johnson,2014-06-14,Lightweight,721,34,107,29,91,0,1,4,9,96,0,2,0,1,1,1,0,0,0,2014
Ovince Saint Preux,Ryan Jimmo,2014-06-14,Light Heavyweight,430,14,34,15,29,2,4,0,1,120,1,0,0,1,1,1,0,0,0,2014
Ryan Jimmo,Ovince Saint Preux,2014-06-14,Light Heavyweight,430,15,29,14,34,0,1,2,4,60,0,0,0,0,1,0,1,0,0,2014
Michinori Tanaka,Roland Delorme,2014-06-14,Bantamweight,900,21,37,2,20,3,4,1,1,614,1,0,0,1,1,0,0,0,1,2014
Roland Delorme,Michinori Tanaka,2014-06-14,Bantamweight,900,2,20,21,37,1,1,3,4,21,0,0,0,0,1,0,0,0,0,2014
Rory MacDonald,Tyron Woodley,2014-06-14,Welterweight,900,49,150,26,81,1,2,0,2,187,0,0,0,1,1,0,0,0,1,2014
Tyron Woodley,Rory MacDonald,2014-06-14,Welterweight,900,26,81,49,150,0,2,1,2,85,0,0,0,0,1,0,0,0,0,2014
Rafael Cavalcante,Ryan Bader,2014-06-14,Light Heavyweight,900,10,37,53,94,0,0,7,16,30,0,0,0,0,1,0,0,0,0,2014
Ryan Bader,Rafael Cavalcante,2014-06-14,Light Heavyweight,900,53,94,10,37,7,16,0,0,502,0,0,0,1,1,0,0,0,1,2014
Elizabeth Phillips,Valerie Letourneau,2014-06-14,Women's Bantamweight,900,67,270,104,275,0,3,0,2,125,0,0,0,0,1,0,0,0,0,2014
Valerie Letourneau,Elizabeth Phillips,2014-06-14,Women's Bantamweight,900,104,275,67,270,0,2,0,3,1,0,0,0,1,1,0,0,0,1,2014
Mike Easton,Yves Jabouin,2014-06-14,Bantamweight,900,42,121,60,132,0,4,5,8,174,0,0,0,0,1,0,0,0,0,2014
Yves Jabouin,Mike Easton,2014-06-14,Bantamweight,900,60,132,42,121,5,8,0,4,412,0,0,0,1,1,0,0,0,1,2014
Bruno Santos,Chris Camozzi,2014-07-05,Middleweight,900,25,51,42,85,4,6,0,1,544,0,0,0,1,1,0,0,0,1,2014
Chris Camozzi,Bruno Santos,2014-07-05,Middleweight,900,42,85,25,51,0,1,4,6,2,1,0,0,0,1,0,0,0,0,2014
Chris Weidman,Lyoto Machida,2014-07-05,Middleweight,1500,65,177,58,139,5,13,0,0,276,0,0,0,1,1,0,0,0,1,2014
Lyoto Machida,Chris Weidman,2014-07-05,Middleweight,1500,58,139,65,177,0,0,5,13,19,0,0,0,0,1,0,0,0,0,2014
George Roop,Rob Font,2014-07-05,Bantamweight,139,10,37,12,23,0,0,0,0,17,0,0,1,0,1,0,1,0,0,2014
Rob Font,George Roop,2014-07-05,Bantamweight,139,12,23,10,37,0,0,0,0,3,0,1,0,1,1,1,0,0,0,2014
Ildemar Alcantara,Kenny Robertson,2014-07-05,Welterweight,900,22,65,70,110,1,2,3,10,44,0,0,0,0,1,0,0,0,0,2014
Kenny Robertson,Ildemar Alcantara,2014-07-05,Welterweight,900,70,110,22,65,3,10,1,2,520,2,0,0,1,1,0,0,0,1,2014
Bubba Bush,Kevin Casey,2014-07-05,Middleweight,61,2,4,15,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014
Kevin Casey,Bubba Bush,2014-07-05,Middleweight,61,15,18,2,4,0,0,0,0,49,0,1,0,0,0,0,0,0,0,2014
Guilherme Vasconcelos,Luke Zachrich,2014-07-05,Middleweight,900,49,166,66,226,0,3,1,1,0,0,0,0,0,1,0,0,0,0,2014
Luke Zachrich,Guilherme Vasconcelos,2014-07-05,Middleweight,900,66,226,49,166,1,1,0,3,1,0,0,0,1,1,0,0,0,1,2014
Marcus Brimage,Russell Doane,2014-07-05,Bantamweight,900,27,75,24,72,2,2,3,9,31,0,0,0,0,1,0,0,0,0,2014
Russell Doane,Marcus Brimage,2014-07-05,Bantamweight,900,24,72,27,75,3,9,2,2,277,0,0,0,1,1,0,0,0,1,2014
Alexis Davis,Ronda Rousey,2014-07-05,Women's Bantamweight,16,2,6,14,16,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2014
Ronda Rousey,Alexis Davis,2014-07-05,Women's Bantamweight,16,14,16,2,6,1,1,0,0,4,0,0,0,1,1,1,0,0,0,2014
Thiago Santos,Uriah Hall,2014-07-05,Middleweight,900,44,129,42,113,0,2,1,1,60,0,0,0,0,1,0,0,0,0,2014
Uriah Hall,Thiago Santos,2014-07-05,Middleweight,900,42,113,44,129,1,1,0,2,5,1,0,0,1,1,0,0,0,1,2014
Alex Caceres,Urijah Faber,2014-07-05,Bantamweight,669,20,45,20,38,0,0,5,12,31,0,0,0,0,1,0,0,0,0,2014
Urijah Faber,Alex Caceres,2014-07-05,Bantamweight,669,20,38,20,45,5,12,0,0,406,1,0,0,1,1,0,0,1,0,2014
Bethe Correia,Shayna Baszler,2014-08-30,Women's Bantamweight,416,68,103,8,30,0,0,1,4,156,0,0,0,1,1,1,0,0,0,2014
Shayna Baszler,Bethe Correia,2014-08-30,Women's Bantamweight,416,8,30,68,103,1,4,0,0,115,1,0,0,0,1,0,1,0,0,2014
Cain Carrizosa,Chris Wade,2014-08-30,Lightweight,72,0,3,0,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,2014
Chris Wade,Cain Carrizosa,2014-08-30,Lightweight,72,0,1,0,3,1,1,0,0,45,1,0,0,1,1,0,0,1,0,2014
Derek Brunson,Lorenz Larkin,2014-08-30,Middleweight,900,12,30,20,40,4,12,0,0,642,1,0,0,1,1,0,0,0,1,2014
Lorenz Larkin,Derek Brunson,2014-08-30,Middleweight,900,20,40,12,30,0,0,4,12,0,0,0,0,0,1,0,0,0,0,2014
Diego Ferreira,Ramsey Nijem,2014-08-30,Lightweight,413,25,70,18,58,0,0,2,4,46,2,1,0,1,1,1,0,0,0,2014
Ramsey Nijem,Diego Ferreira,2014-08-30,Lightweight,413,18,58,25,70,2,4,0,0,102,0,0,1,0,1,0,1,0,0,2014
Anthony Hamilton,Ruan Potts,2014-08-30,Heavyweight,557,60,64,10,29,5,6,0,3,350,0,0,0,1,1,1,0,0,0,2014
Ruan Potts,Anthony Hamilton,2014-08-30,Heavyweight,557,10,29,60,64,0,3,5,6,1,0,0,0,0,1,0,1,0,0,2014
Joe Soto,TJ Dillashaw,2014-08-30,Bantamweight,1340,62,197,151,454,0,5,2,3,0,0,0,1,0,1,0,1,0,0,2014
TJ Dillashaw,Joe Soto,2014-08-30,Bantamweight,1340,151,454,62,197,2,3,0,5,111,0,1,0,1,1,1,0,0,0,2014
Danny Castillo,Tony Ferguson,2014-08-30,Lightweight,900,23,105,23,80,2,8,0,0,569,1,0,0,0,1,0,0,0,0,2014
Tony Ferguson,Danny Castillo,2014-08-30,Lightweight,900,23,80,23,105,0,0,2,8,7,1,0,0,1,1,0,0,0,1,2014
Damon Jackson,Yancy Medeiros,2014-08-30,Lightweight,414,20,49,29,55,0,5,0,0,139,0,0,0,0,1,0,0,0,0,2014
Yancy Medeiros,Damon Jackson,2014-08-30,Lightweight,414,29,55,20,49,0,0,0,5,39,2,0,0,1,1,0,0,1,0,2014
Amanda Nunes,Cat Zingano,2014-09-27,Women's Bantamweight,681,22,37,40,60,1,2,3,3,188,0,0,0,0,1,0,1,0,0,2014
Cat Zingano,Amanda Nunes,2014-09-27,Women's Bantamweight,681,40,60,22,37,3,3,1,2,417,3,0,0,1,1,1,0,0,0,2014
Chris Cariaso,Demetrious Johnson,2014-09-27,Flyweight,449,6,27,27,43,0,1,1,1,3,0,0,0,0,1,0,0,0,0,2014
Demetrious Johnson,Chris Cariaso,2014-09-27,Flyweight,449,27,43,6,27,1,1,0,1,282,2,0,0,1,1,0,0,1,0,2014
Dominick Cruz,Takeya Mizugaki,2014-09-27,Bantamweight,61,26,35,2,10,2,2,0,0,23,0,0,0,1,1,1,0,0,0,2014
Takeya Mizugaki,Dominick Cruz,2014-09-27,Bantamweight,61,2,10,26,35,0,0,2,2,0,0,0,0,0,1,0,1,0,0,2014
Donald Cerrone,Eddie Alvarez,2014-09-27,Lightweight,900,88,166,48,138,0,2,0,5,117,0,1,0,1,1,0,0,0,1,2014
Eddie Alvarez,Donald Cerrone,2014-09-27,Lightweight,900,48,138,88,166,0,5,0,2,38,0,0,1,0,1,0,0,0,0,2014
Conor McGregor,Dustin Poirier,2014-09-27,Featherweight,106,9,29,10,19,0,0,0,0,3,0,1,0,1,1,1,0,0,0,2014
Dustin Poirier,Conor McGregor,2014-09-27,Featherweight,106,10,19,9,29,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2014
Brian Ebersole,John Howard,2014-09-27,Welterweight,900,49,94,42,66,1,5,2,4,195,0,0,0,1,1,0,0,0,1,2014
John Howard,Brian Ebersole,2014-09-27,Welterweight,900,42,66,49,94,2,4,1,5,246,0,0,0,0,1,0,0,0,0,2014
Jon Tuck,Kevin Lee,2014-09-27,Lightweight,900,30,80,74,157,0,0,4,9,7,2,0,0,0,1,0,0,0,0,2014
Kevin Lee,Jon Tuck,2014-09-27,Lightweight,900,74,157,30,80,4,9,0,0,526,0,0,0,1,1,0,0,0,1,2014
James Krause,Jorge Masvidal,2014-09-27,Lightweight,900,58,145,69,157,0,5,2,4,103,0,0,1,0,1,0,0,0,0,2014
Jorge Masvidal,James Krause,2014-09-27,Lightweight,900,69,157,58,145,2,4,0,5,182,0,1,0,1,1,0,0,0,1,2014
Cody Gibson,Manvel Gamburyan,2014-09-27,Bantamweight,596,49,118,11,52,1,2,2,6,163,0,1,0,0,1,0,0,0,0,2014
Manvel Gamburyan,Cody Gibson,2014-09-27,Bantamweight,596,11,52,49,118,2,6,1,2,92,1,0,1,1,1,0,0,1,0,2014
Patrick Cote,Stephen Thompson,2014-09-27,Welterweight,900,53,123,64,134,0,8,0,0,107,0,0,1,0,1,0,0,0,0,2014
Stephen Thompson,Patrick Cote,2014-09-27,Welterweight,900,64,134,53,123,0,0,0,8,39,0,1,0,1,1,0,0,0,1,2014
Tim Kennedy,Yoel Romero,2014-09-27,Middleweight,658,30,86,39,80,0,6,3,4,1,1,0,2,0,1,0,1,0,0,2014
Yoel Romero,Tim Kennedy,2014-09-27,Middleweight,658,39,80,30,86,3,4,0,6,126,0,2,0,1,1,1,0,0,0,2014
Darren Elkins,Lucas Martins,2014-10-25,Featherweight,900,47,154,26,82,1,14,0,0,483,0,0,0,1,1,0,0,0,1,2014
Lucas Martins,Darren Elkins,2014-10-25,Featherweight,900,26,82,47,154,0,0,1,14,26,1,0,0,0,1,0,0,0,0,2014
Beneil Dariush,Diego Ferreira,2014-10-25,Lightweight,900,32,68,21,85,3,6,0,1,473,0,0,0,1,1,0,0,0,1,2014
Diego Ferreira,Beneil Dariush,2014-10-25,Lightweight,900,21,85,32,68,0,1,3,6,37,0,0,0,0,1,0,0,0,0,2014
Fabio Maldonado,Hans Stringer,2014-10-25,Light Heavyweight,546,28,46,33,46,0,0,3,3,102,0,0,0,1,1,1,0,0,0,2014
Hans Stringer,Fabio Maldonado,2014-10-25,Light Heavyweight,546,33,46,28,46,3,3,0,0,359,0,0,0,0,1,0,1,0,0,2014
Anthony Rocco Martin,Fabricio Camoes,2014-10-25,Lightweight,256,1,11,1,8,1,1,0,0,177,3,0,0,1,1,0,0,1,0,2014
Fabricio Camoes,Anthony Rocco Martin,2014-10-25,Lightweight,256,1,8,1,11,0,0,1,1,3,0,0,0,0,1,0,0,0,0,2014
Andre Fili,Felipe Arantes,2014-10-25,Featherweight,900,42,102,29,63,5,8,3,5,391,1,0,0,1,1,0,0,0,1,2014
Felipe Arantes,Andre Fili,2014-10-25,Featherweight,900,29,63,42,102,3,5,5,8,314,1,0,0,0,1,0,0,0,0,2014
Christos Giagos,Gilbert Burns,2014-10-25,Lightweight,297,4,13,7,13,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2014
Gilbert Burns,Christos Giagos,2014-10-25,Lightweight,297,7,13,4,13,1,1,0,0,217,2,0,0,1,1,0,0,1,0,2014
Glover Teixeira,Phil Davis,2014-10-25,Light Heavyweight,900,9,46,49,145,0,0,9,18,16,0,0,0,0,1,0,0,0,0,2014
Phil Davis,Glover Teixeira,2014-10-25,Light Heavyweight,900,49,145,9,46,9,18,0,0,486,0,0,0,1,1,0,0,0,1,2014
Chad Mendes,Jose Aldo,2014-10-25,Featherweight,1500,77,194,102,269,1,8,0,0,128,0,0,1,0,1,0,0,0,0,2014
Jose Aldo,Chad Mendes,2014-10-25,Featherweight,1500,102,269,77,194,0,0,1,8,68,0,1,0,1,1,0,0,0,1,2014
Scott Jorgensen,Wilson Reis,2014-10-25,Flyweight,208,6,19,13,35,0,0,1,2,19,0,1,0,0,1,0,0,0,0,2014
Wilson Reis,Scott Jorgensen,2014-10-25,Flyweight,208,13,35,6,19,1,2,0,0,34,1,0,1,1,1,0,0,1,0,2014
Neil Magny,William Macario,2014-10-25,Welterweight,760,65,146,24,77,2,4,0,1,172,0,0,0,1,1,1,0,0,0,2014
William Macario,Neil Magny,2014-10-25,Welterweight,760,24,77,65,146,0,1,2,4,36,0,0,0,0,1,0,1,0,0,2014
Naoyuki Kotani,Yan Cabral,2014-10-25,Lightweight,486,5,26,11,24,1,1,2,5,69,0,0,0,0,1,0,0,0,0,2014
Yan Cabral,Naoyuki Kotani,2014-10-25,Lightweight,486,11,24,5,26,2,5,1,1,259,1,0,0,1,1,0,0,1,0,2014
Bob Gilstrap,Carlos Newton,1998-05-15,Middleweight,52,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1998
Carlos Newton,Bob Gilstrap,1998-05-15,Middleweight,52,1,1,0,1,1,1,0,0,0,3,0,0,1,1,0,0,1,0,1998
Chuck Liddell,Noe Hernandez,1998-05-15,Middleweight,720,46,98,9,38,2,2,1,1,0,0,0,0,1,1,0,0,0,1,1998
Noe Hernandez,Chuck Liddell,1998-05-15,Middleweight,720,9,38,46,98,1,1,2,2,0,0,0,0,0,1,0,0,0,0,1998
Allan Goes,Dan Henderson,1998-05-15,Middleweight,900,36,49,31,54,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1998
Dan Henderson,Allan Goes,1998-05-15,Middleweight,900,31,54,36,49,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1998
Carlos Newton,Dan Henderson,1998-05-15,Middleweight,900,20,32,28,42,2,3,3,3,0,1,2,0,0,1,0,0,0,0,1998
Dan Henderson,Carlos Newton,1998-05-15,Middleweight,900,28,42,20,32,3,3,2,3,0,0,0,2,1,1,0,0,0,1,1998
David Abbott,Hugo Duarte,1998-05-15,Heavyweight,43,11,16,0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1998
Hugo Duarte,David Abbott,1998-05-15,Heavyweight,43,0,0,11,16,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1998
Frank Shamrock,Jeremy Horn,1998-05-15,Light Heavyweight,988,20,28,14,25,0,0,5,10,0,3,0,0,1,1,0,0,1,0,1998
Jeremy Horn,Frank Shamrock,1998-05-15,Light Heavyweight,988,14,25,20,28,5,10,0,0,0,0,0,0,0,1,0,0,0,0,1998
Joe Pardo,Mike van Arsdale,1998-05-15,Heavyweight,661,4,11,27,72,0,5,1,1,0,1,0,0,0,1,0,0,0,0,1998
Mike van Arsdale,Joe Pardo,1998-05-15,Heavyweight,661,27,72,4,11,1,1,0,5,0,1,0,0,1,1,0,0,1,0,1998
Mark Coleman,Pete Williams,1998-05-15,Heavyweight,758,26,49,22,42,3,8,0,0,0,0,0,1,0,1,0,1,0,0,1998
Pete Williams,Mark Coleman,1998-05-15,Heavyweight,758,22,42,26,49,0,0,3,8,0,1,1,0,1,1,1,0,0,0,1998
Alejandro Perez,Jose Quinonez,2014-11-15,Bantamweight,900,38,130,38,111,1,2,3,4,25,1,0,0,1,1,0,0,0,1,2014
Jose Quinonez,Alejandro Perez,2014-11-15,Bantamweight,900,38,111,38,130,3,4,1,2,209,2,0,0,0,1,0,0,0,0,2014
Augusto Montano,Chris Heatherly,2014-11-15,Welterweight,290,30,52,8,20,0,0,1,3,87,0,0,0,1,1,1,0,0,0,2014
Chris Heatherly,Augusto Montano,2014-11-15,Welterweight,290,8,20,30,52,1,3,0,0,48,0,0,0,0,1,0,1,0,0,2014
Edgar Garcia,Hector Urbina,2014-11-15,Welterweight,218,12,18,4,7,2,2,0,0,99,0,0,0,0,1,0,0,0,0,2014
Hector Urbina,Edgar Garcia,2014-11-15,Welterweight,218,4,7,12,18,0,0,2,2,71,2,0,0,1,1,0,0,1,0,2014
Fabricio Werdum,Mark Hunt,2014-11-15,Heavyweight,447,21,37,10,36,0,3,1,1,7,0,1,1,1,1,1,0,0,0,2014
Mark Hunt,Fabricio Werdum,2014-11-15,Heavyweight,447,10,36,21,37,1,1,0,3,113,0,1,1,0,1,0,1,0,0,2014
Gabriel Benitez,Humberto Brown Morrison,2014-11-15,Featherweight,630,23,61,18,36,0,0,1,4,25,5,0,0,1,1,0,0,1,0,2014
Humberto Brown Morrison,Gabriel Benitez,2014-11-15,Featherweight,630,18,36,23,61,1,4,0,0,367,0,0,0,0,1,0,0,0,0,2014
Guido Cannetti,Henry Briones,2014-11-15,Bantamweight,404,35,73,32,63,1,2,0,0,82,0,0,1,0,1,0,0,0,0,2014
Henry Briones,Guido Cannetti,2014-11-15,Bantamweight,404,32,63,35,73,0,0,1,2,34,1,1,0,1,1,0,0,1,0,2014
Jake Ellenberger,Kelvin Gastelum,2014-11-15,Welterweight,286,10,24,16,36,1,1,1,2,3,0,0,0,0,1,0,0,0,0,2014
Kelvin Gastelum,Jake Ellenberger,2014-11-15,Welterweight,286,16,36,10,24,1,2,1,1,116,1,0,0,1,1,0,0,1,0,2014
Jessica Eye,Leslie Smith,2014-11-15,Women's Bantamweight,390,80,185,28,98,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2014
Leslie Smith,Jessica Eye,2014-11-15,Women's Bantamweight,390,28,98,80,185,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2014
Marco Beltran,Marlon Vera,2014-11-15,Bantamweight,900,31,62,25,56,1,4,1,1,346,0,0,0,1,1,0,0,0,1,2014
Marlon Vera,Marco Beltran,2014-11-15,Bantamweight,900,25,56,31,62,1,1,1,4,362,2,0,0,0,1,0,0,0,0,2014
Dennis Bermudez,Ricardo Lamas,2014-11-15,Featherweight,198,8,30,14,25,0,1,0,0,60,0,0,1,0,1,0,0,0,0,2014
Ricardo Lamas,Dennis Bermudez,2014-11-15,Featherweight,198,14,25,8,30,0,0,0,1,51,1,1,0,1,1,0,0,1,0,2014
Leonardo Morales,Yair Rodriguez,2014-11-15,Featherweight,900,33,72,34,83,0,1,2,6,137,0,0,0,0,1,0,0,0,0,2014
Yair Rodriguez,Leonardo Morales,2014-11-15,Featherweight,900,34,83,33,72,2,6,0,1,236,5,0,0,1,1,0,0,0,1,2014
Alex White,Clay Collard,2014-12-06,Featherweight,900,58,164,60,193,1,3,3,5,80,1,0,1,0,1,0,0,0,0,2014
Clay Collard,Alex White,2014-12-06,Featherweight,900,60,193,58,164,3,5,1,3,153,2,1,0,1,1,0,0,0,1,2014
Anthony Pettis,Gilbert Melendez,2014-12-06,Lightweight,413,30,58,27,78,0,0,1,8,3,1,0,0,1,1,0,0,1,0,2014
Gilbert Melendez,Anthony Pettis,2014-12-06,Lightweight,413,27,78,30,58,1,8,0,0,261,0,0,0,0,1,0,0,0,0,2014
Corey Anderson,Justin Jones,2014-12-06,Light Heavyweight,900,45,89,28,69,7,13,0,1,525,0,0,0,1,1,0,0,0,1,2014
Justin Jones,Corey Anderson,2014-12-06,Light Heavyweight,900,28,69,45,89,0,1,7,13,0,1,0,0,0,1,0,0,0,0,2014
Eddie Gordon,Josh Samman,2014-12-06,Middleweight,488,8,15,11,24,2,2,1,2,392,0,0,1,0,1,0,1,0,0,2014
Josh Samman,Eddie Gordon,2014-12-06,Middleweight,488,11,24,8,15,1,2,2,2,16,0,1,0,1,1,1,0,0,0,2014
Johny Hendricks,Robbie Lawler,2014-12-06,Welterweight,1500,111,228,116,201,5,17,0,0,621,1,0,0,0,1,0,0,0,0,2014
Robbie Lawler,Johny Hendricks,2014-12-06,Welterweight,1500,116,201,111,228,0,0,5,17,62,0,0,0,1,1,0,0,0,1,2014
Ashlee Evans-Smith,Raquel Pennington,2014-12-06,Women's Bantamweight,299,11,16,5,10,1,2,1,2,189,0,0,0,0,1,0,0,0,0,2014
Raquel Pennington,Ashlee Evans-Smith,2014-12-06,Women's Bantamweight,299,5,10,11,16,1,2,1,2,82,1,0,0,1,1,0,0,1,0,2014
Matt Hobar,Sergio Pettis,2014-12-06,Bantamweight,900,36,124,78,200,2,9,0,1,262,0,1,0,0,1,0,0,0,0,2014
Sergio Pettis,Matt Hobar,2014-12-06,Bantamweight,900,78,200,36,124,0,1,2,9,95,2,0,1,1,1,0,0,0,1,2014
Anthony Hamilton,Todd Duffee,2014-12-06,Heavyweight,33,2,6,8,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2014
Todd Duffee,Anthony Hamilton,2014-12-06,Heavyweight,33,8,16,2,6,0,0,0,0,2,0,1,0,1,1,1,0,0,0,2014
Abel Trujillo,Tony Ferguson,2014-12-06,Lightweight,559,15,76,20,55,2,5,1,1,121,0,1,0,0,1,0,0,0,0,2014
Tony Ferguson,Abel Trujillo,2014-12-06,Lightweight,559,20,55,15,76,1,1,2,5,122,1,0,1,1,1,0,0,1,0,2014
Brendan Schaub,Travis Browne,2014-12-06,Heavyweight,290,5,13,25,37,1,3,1,1,49,0,0,0,0,1,0,1,0,0,2014
Travis Browne,Brendan Schaub,2014-12-06,Heavyweight,290,25,37,5,13,1,1,1,3,101,0,0,0,1,1,1,0,0,0,2014
Francisco Rivera,Urijah Faber,2014-12-06,Bantamweight,394,15,56,19,52,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2014
Urijah Faber,Francisco Rivera,2014-12-06,Bantamweight,394,19,52,15,56,0,3,0,0,14,1,1,0,1,1,0,0,1,0,2014
Alexis Dufresne,Marion Reneau,2015-01-03,Women's Bantamweight,900,28,116,85,221,0,3,0,0,14,0,0,0,0,1,0,0,0,0,2015
Marion Reneau,Alexis Dufresne,2015-01-03,Women's Bantamweight,900,85,221,28,116,0,0,0,3,16,0,0,0,1,1,0,0,0,1,2015
Brad Tavares,Nate Marquardt,2015-01-03,Middleweight,900,50,119,30,64,1,1,0,7,29,0,0,0,1,1,0,0,0,1,2015
Nate Marquardt,Brad Tavares,2015-01-03,Middleweight,900,30,64,50,119,0,7,1,1,87,0,0,0,0,1,0,0,0,0,2015
Danny Castillo,Paul Felder,2015-01-03,Lightweight,429,21,52,33,94,0,2,0,0,0,0,0,1,0,1,0,1,0,0,2015
Paul Felder,Danny Castillo,2015-01-03,Lightweight,429,33,94,21,52,0,0,0,2,2,0,1,0,1,1,1,0,0,0,2015
Donald Cerrone,Myles Jury,2015-01-03,Lightweight,900,37,83,15,53,1,1,1,7,221,2,0,0,1,1,0,0,0,1,2015
Myles Jury,Donald Cerrone,2015-01-03,Lightweight,900,15,53,37,83,1,7,1,1,121,0,0,0,0,1,0,0,0,0,2015
Evan Dunham,Rodrigo Damm,2015-01-03,Lightweight,900,152,344,47,153,1,2,0,0,34,0,0,0,1,1,0,0,0,1,2015
Rodrigo Damm,Evan Dunham,2015-01-03,Lightweight,900,47,153,152,344,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2015
Hector Lombard,Joshua Burkman,2015-01-03,Welterweight,900,53,129,42,128,2,3,0,2,109,0,0,0,0,0,0,0,0,0,2015
Joshua Burkman,Hector Lombard,2015-01-03,Welterweight,900,42,128,53,129,0,2,2,3,0,0,0,0,0,0,0,0,0,0,2015
Daniel Cormier,Jon Jones,2015-01-03,Light Heavyweight,1500,58,165,92,178,1,8,3,5,96,0,0,0,0,1,0,0,0,0,2015
Jon Jones,Daniel Cormier,2015-01-03,Light Heavyweight,1500,92,178,58,165,3,5,1,8,412,0,0,0,1,1,0,0,0,1,2015
Kyoji Horiguchi,Louis Gaudinot,2015-01-03,Flyweight,900,44,108,23,89,1,2,0,1,118,0,0,0,1,1,0,0,0,1,2015
Louis Gaudinot,Kyoji Horiguchi,2015-01-03,Flyweight,900,23,89,44,108,0,1,1,2,0,2,0,0,0,1,0,0,0,0,2015
Cody Garbrandt,Marcus Brimage,2015-01-03,Bantamweight,890,49,134,43,132,1,3,0,0,29,0,2,0,1,1,1,0,0,0,2015
Marcus Brimage,Cody Garbrandt,2015-01-03,Bantamweight,890,43,132,49,134,0,0,1,3,17,0,0,2,0,1,0,1,0,0,2015
Mats Nilsson,Omari Akhmedov,2015-01-03,Welterweight,900,33,92,64,184,5,6,5,9,176,3,0,0,0,1,0,0,0,0,2015
Omari Akhmedov,Mats Nilsson,2015-01-03,Welterweight,900,64,184,33,92,5,9,5,6,279,0,0,0,1,1,0,0,0,1,2015
Jared Cannonier,Shawn Jordan,2015-01-03,Heavyweight,177,10,20,12,31,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2015
Shawn Jordan,Jared Cannonier,2015-01-03,Heavyweight,177,12,31,10,20,0,0,0,0,3,0,1,0,1,1,1,0,0,0,2015
Anderson Silva,Nick Diaz,2015-01-31,Middleweight,1500,108,217,77,223,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2015
Nick Diaz,Anderson Silva,2015-01-31,Middleweight,1500,77,223,108,217,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2015
Derek Brunson,Ed Herman,2015-01-31,Middleweight,36,11,18,0,4,0,0,0,0,5,0,1,0,1,1,1,0,0,0,2015
Ed Herman,Derek Brunson,2015-01-31,Middleweight,36,0,4,11,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2015
Ian McCall,John Lineker,2015-01-31,Flyweight,900,40,92,38,121,1,6,0,0,211,0,0,0,0,1,0,0,0,0,2015
John Lineker,Ian McCall,2015-01-31,Flyweight,900,38,121,40,92,0,0,1,6,46,3,0,0,1,1,0,0,0,1,2015
Al Iaquinta,Joe Lauzon,2015-01-31,Lightweight,514,59,154,32,86,1,3,0,1,22,0,1,0,1,1,1,0,0,0,2015
Joe Lauzon,Al Iaquinta,2015-01-31,Lightweight,514,32,86,59,154,0,1,1,3,8,0,0,1,0,1,0,1,0,0,2015
Jordan Mein,Thiago Alves,2015-01-31,Welterweight,339,37,96,23,68,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2015
Thiago Alves,Jordan Mein,2015-01-31,Welterweight,339,23,68,37,96,0,0,0,0,4,0,1,0,1,1,1,0,0,0,2015
Miesha Tate,Sara McMann,2015-01-31,Women's Bantamweight,900,23,60,34,105,0,0,1,2,356,2,0,1,1,1,0,0,0,1,2015
Sara McMann,Miesha Tate,2015-01-31,Women's Bantamweight,900,34,105,23,60,1,2,0,0,295,0,1,0,0,1,0,0,0,0,2015
Rafael Natal,Tom Watson,2015-01-31,Middleweight,900,67,152,29,150,8,13,0,0,210,0,0,0,1,1,0,0,0,1,2015
Tom Watson,Rafael Natal,2015-01-31,Middleweight,900,29,150,67,152,0,0,8,13,0,0,0,0,0,1,0,0,0,0,2015
Ildemar Alcantara,Richardson Moreira,2015-01-31,Middleweight,900,21,75,15,59,0,1,0,6,61,0,0,0,1,1,0,0,0,1,2015
